Timestamp,UnixTime,F,FL,FR,L,R,BL,BR,B,M1_Speed,M1_Dir,M2_Speed,M2_Dir,M3_Speed,M3_Dir,M4_Speed,M4_Dir
2025-05-08 13:15:03,1746702903.695842,1600,1600,1600,1600,1600,1600,1600,1051,30,1,30,1,30,1,30,1
2025-05-08 13:15:03,1746702903.9997272,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:04,1746702904.303294,1600,1600,1600,1600,1600,1600,1600,1060,30,1,30,1,30,1,30,1
2025-05-08 13:15:04,1746702904.5074635,1600,1600,1600,1600,1600,1600,1600,1059,30,1,30,1,30,1,30,1
2025-05-08 13:15:04,1746702904.745312,1600,1600,1600,1600,1600,1600,1600,1069,30,1,30,1,30,1,30,1
2025-05-08 13:15:05,1746702905.0059412,1600,1600,1600,1600,1600,1600,1600,1062,30,1,30,1,30,1,30,1
2025-05-08 13:15:05,1746702905.2607849,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:05,1746702905.531098,1600,1600,1600,1600,1600,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:05,1746702905.8008316,1600,1600,1600,1600,1600,1600,1600,1065,30,1,30,1,30,1,30,1
2025-05-08 13:15:06,1746702906.0500746,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:06,1746702906.3107643,1600,1600,1600,1600,1600,1600,1600,1069,30,1,30,1,30,1,30,1
2025-05-08 13:15:06,1746702906.5633755,1600,1600,1600,1600,1600,1600,1600,1065,30,1,30,1,30,1,30,1
2025-05-08 13:15:06,1746702906.8127303,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:07,1746702907.0749018,1600,1600,1600,1600,1600,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:07,1746702907.361056,1600,1600,1600,1600,1600,1600,1600,1060,30,1,30,1,30,1,30,1
2025-05-08 13:15:07,1746702907.6070752,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:07,1746702907.8930576,1600,1600,1600,1600,1600,1600,1600,1065,30,1,30,1,30,1,30,1
2025-05-08 13:15:08,1746702908.1175697,1600,1600,1600,1600,1600,1600,1600,1060,30,1,30,1,30,1,30,1
2025-05-08 13:15:08,1746702908.4044247,1600,1600,1600,1600,1600,1600,1600,1057,30,1,30,1,30,1,30,1
2025-05-08 13:15:08,1746702908.7121727,1600,1600,1600,1600,1600,1600,1600,1071,30,1,30,1,30,1,30,1
2025-05-08 13:15:08,1746702908.9148045,1600,1600,1600,1600,1600,1600,1600,1060,30,1,30,1,30,1,30,1
2025-05-08 13:15:09,1746702909.154042,1600,1600,1600,1600,1600,1600,1600,1051,30,1,30,1,30,1,30,1
2025-05-08 13:15:09,1746702909.419406,1600,1600,1600,1600,1600,1600,1600,1058,30,1,30,1,30,1,30,1
2025-05-08 13:15:09,1746702909.6825633,1600,1600,1600,1600,1600,1600,1600,1059,30,1,30,1,30,1,30,1
2025-05-08 13:15:09,1746702909.9386754,1600,1600,1600,1600,1600,1600,1600,1067,30,1,30,1,30,1,30,1
2025-05-08 13:15:10,1746702910.2111754,1600,1600,1600,1600,1600,1600,1600,1065,30,1,30,1,30,1,30,1
2025-05-08 13:15:10,1746702910.4541564,1600,1600,1600,1600,1600,1600,1600,1059,30,1,30,1,30,1,30,1
2025-05-08 13:15:10,1746702910.727009,1600,1600,1600,1600,1600,1600,1600,1060,30,1,30,1,30,1,30,1
2025-05-08 13:15:10,1746702910.9909,1600,1600,1600,1600,1600,1600,1600,1067,30,1,30,1,30,1,30,1
2025-05-08 13:15:11,1746702911.268269,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:11,1746702911.529441,1600,1600,1600,1600,1600,1600,1600,1064,30,1,30,1,30,1,30,1
2025-05-08 13:15:11,1746702911.7816281,1600,1600,1600,1600,1600,1600,1600,1062,30,1,30,1,30,1,30,1
2025-05-08 13:15:12,1746702912.0321436,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:12,1746702912.294446,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:12,1746702912.5327466,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:12,1746702912.808119,1600,1600,1600,1600,1600,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:13,1746702913.1131494,1600,1600,1600,1600,1600,1600,1600,1070,30,1,30,1,30,1,30,1
2025-05-08 13:15:13,1746702913.317954,1600,1600,1600,1600,1600,1600,1600,1068,30,1,30,1,30,1,30,1
2025-05-08 13:15:13,1746702913.62555,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:13,1746702913.8379793,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:14,1746702914.137715,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:14,1746702914.4397883,1600,1600,1600,1600,1600,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:14,1746702914.6517127,1600,1600,1600,1600,1600,1600,1600,1055,30,1,30,1,30,1,30,1
2025-05-08 13:15:14,1746702914.905841,1600,1600,1600,1600,1600,1600,1600,1071,30,1,30,1,30,1,30,1
2025-05-08 13:15:15,1746702915.1424034,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:15,1746702915.4010885,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:15,1746702915.6546118,1600,1600,1600,1600,1600,1600,1600,1068,30,1,30,1,30,1,30,1
2025-05-08 13:15:15,1746702915.940618,1600,1600,1600,1600,1600,1600,1600,1057,30,1,30,1,30,1,30,1
2025-05-08 13:15:16,1746702916.2528484,1600,1600,1600,1600,1600,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:16,1746702916.4478486,1600,1600,1600,1600,1600,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:16,1746702916.6992786,1600,1600,1600,1600,100,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:17,1746702917.0075462,1600,1600,1600,1600,89,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:17,1746702917.2534463,1600,1600,1600,1600,91,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:17,1746702917.5162299,1600,1600,1600,1600,88,1600,1600,1062,30,1,30,1,30,1,30,1
2025-05-08 13:15:17,1746702917.7613337,1600,1600,1600,1600,89,1600,1600,1068,30,1,30,1,30,1,30,1
2025-05-08 13:15:18,1746702918.0311372,1600,1600,1600,1600,95,1600,1600,1064,30,1,30,1,30,1,30,1
2025-05-08 13:15:18,1746702918.2540586,1600,1600,1600,1600,95,1600,1600,1057,30,1,30,1,30,1,30,1
2025-05-08 13:15:18,1746702918.5406837,1600,1600,1600,1600,400,1600,1600,1065,30,1,30,1,30,1,30,1
2025-05-08 13:15:18,1746702918.774937,1600,1600,1600,1600,706,1600,1600,1074,30,1,30,1,30,1,30,1
2025-05-08 13:15:19,1746702919.054026,1600,1600,1600,1600,637,1600,1600,1062,30,1,30,1,30,1,30,1
2025-05-08 13:15:19,1746702919.3007882,1600,1600,1600,1600,493,1600,1600,1061,30,1,30,1,30,1,30,1
2025-05-08 13:15:19,1746702919.625888,1600,1600,1600,1600,77,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:19,1746702919.859869,124,1600,1600,1600,69,1600,1600,1041,30,1,30,1,30,1,30,1
2025-05-08 13:15:20,1746702920.0789485,102,1600,1600,1600,135,1600,1600,1061,0,1,0,1,0,1,0,1
2025-05-08 13:15:20,1746702920.3511221,106,1600,1600,1600,82,1600,1600,1052,30,1,30,1,30,1,30,1
2025-05-08 13:15:20,1746702920.6026733,114,1600,1600,1600,56,1600,1600,1053,0,1,0,1,0,1,0,1
2025-05-08 13:15:20,1746702920.8611932,110,1600,1600,1600,56,1600,1600,1058,0,1,0,1,0,1,0,1
2025-05-08 13:15:21,1746702921.1309586,107,1600,1600,1600,58,1600,1600,1049,0,1,0,1,0,1,0,1
2025-05-08 13:15:21,1746702921.4077423,30,1600,1600,1600,59,1600,1600,1038,0,1,0,1,0,1,0,1
2025-05-08 13:15:21,1746702921.6670232,30,1600,1600,1600,59,1600,1600,1058,0,1,0,1,0,1,0,1
2025-05-08 13:15:21,1746702921.9205234,1600,1600,1600,1600,55,1600,1600,1040,0,1,0,1,0,1,0,1
2025-05-08 13:15:22,1746702922.1689003,1600,1600,1600,1600,59,1600,1600,1046,30,1,30,1,30,1,30,1
2025-05-08 13:15:22,1746702922.4339013,1600,1600,1600,57,59,1600,1600,1055,30,1,30,1,30,1,30,1
2025-05-08 13:15:22,1746702922.7391276,1600,1600,1600,48,60,1600,1600,1053,30,1,30,1,30,1,30,1
2025-05-08 13:15:22,1746702922.9480157,1600,1600,1600,45,55,1600,1600,1052,30,1,30,1,30,1,30,1
2025-05-08 13:15:23,1746702923.2054265,1600,719,1600,1600,51,1600,1600,1057,30,1,30,1,30,1,30,1
2025-05-08 13:15:23,1746702923.4565017,1600,354,1600,1600,54,1600,1600,1057,30,1,30,1,30,1,30,1
2025-05-08 13:15:23,1746702923.763002,1600,1600,1600,1600,302,1600,123,1043,30,1,30,1,30,1,30,1
2025-05-08 13:15:23,1746702923.984853,136,1600,1600,1600,459,1600,129,1043,255,1,255,1,30,1,30,1
2025-05-08 13:15:24,1746702924.2751033,154,1600,1600,1600,458,1600,144,571,127,1,127,1,0,1,0,1
2025-05-08 13:15:24,1746702924.520695,144,1600,1600,1600,458,1600,120,94,0,1,0,1,0,1,0,1
2025-05-08 13:15:24,1746702924.7778404,135,1600,1600,1600,455,1600,118,89,0,1,0,1,0,1,0,1
2025-05-08 13:15:25,1746702925.0795937,126,1600,1600,1600,454,1600,102,81,0,1,0,1,0,1,0,1
2025-05-08 13:15:25,1746702925.27264,120,1600,1600,1600,455,1600,101,89,0,1,0,1,0,1,0,1
